gisaid_epi_isl	analysis_location	included_in_analysis	date
EPI_ISL_413931	california	no	2020-03-05
EPI_ISL_413558	california	no	2020-02-27
EPI_ISL_417325	california	no	2020-03-03
EPI_ISL_417330	california	yes	2020-03-13
EPI_ISL_417331	california	yes	2020-03-13
EPI_ISL_417332	california	no	2020-03-14
EPI_ISL_413559	california	no	2020-02-27
EPI_ISL_413561	california	no	2020-02-27
EPI_ISL_416457	california	yes	2020-03-18
EPI_ISL_414648	california	yes	2020-03-11
EPI_ISL_417318	california	no	2020-02-29
EPI_ISL_417320	california	no	2020-03-04
EPI_ISL_408008	california	no	2020-01-29
EPI_ISL_408009	california	no	2020-01-29
EPI_ISL_411955	california	no	2020-02-10
EPI_ISL_412862	california	no	2020-02-23
EPI_ISL_417931	california	no	2020-03-18
EPI_ISL_417932	california	yes	2020-03-18
EPI_ISL_417933	california	yes	2020-03-18
EPI_ISL_417935	california	yes	2020-03-18
EPI_ISL_417937	california	yes	2020-03-18
EPI_ISL_417938	california	yes	2020-03-18
EPI_ISL_417939	california	yes	2020-03-18
EPI_ISL_412966	guangdong	yes	2020-02-05
EPI_ISL_406534	guangdong	yes	2020-01-22
EPI_ISL_406535	guangdong	yes	2020-01-22
EPI_ISL_406536	guangdong	yes	2020-01-22
EPI_ISL_413888	guangdong	yes	2020-01-30
EPI_ISL_413853	guangdong	yes	2020-01-30
EPI_ISL_413860	guangdong	yes	2020-01-30
EPI_ISL_413859	guangdong	yes	2020-01-31
EPI_ISL_413889	guangdong	yes	2020-01-30
EPI_ISL_413851	guangdong	yes	2020-01-30
EPI_ISL_413852	guangdong	yes	2020-01-30
EPI_ISL_413857	guangdong	yes	2020-01-31
EPI_ISL_413858	guangdong	no	2020-01-30
EPI_ISL_413854	guangdong	yes	2020-01-30
EPI_ISL_403932	guangdong	yes	2020-01-14
EPI_ISL_403933	guangdong	yes	2020-01-15
EPI_ISL_403934	guangdong	yes	2020-01-15
EPI_ISL_403935	guangdong	yes	2020-01-15
EPI_ISL_403936	guangdong	yes	2020-01-17
EPI_ISL_403937	guangdong	yes	2020-01-18
EPI_ISL_406531	guangdong	yes	2020-01-22
EPI_ISL_406538	guangdong	yes	2020-01-23
EPI_ISL_413868	guangdong	yes	2020-02-28
EPI_ISL_413869	guangdong	yes	2020-02-28
EPI_ISL_413870	guangdong	yes	2020-02-28
EPI_ISL_413861	guangdong	yes	2020-02-01
EPI_ISL_413862	guangdong	yes	2020-02-01
EPI_ISL_413863	guangdong	yes	2020-02-01
EPI_ISL_413884	guangdong	yes	2020-02-01
EPI_ISL_413883	guangdong	yes	2020-02-02
EPI_ISL_413882	guangdong	yes	2020-02-02
EPI_ISL_413856	guangdong	no	2020-02-07
EPI_ISL_413855	guangdong	yes	2020-02-07
EPI_ISL_413864	guangdong	yes	2020-02-09
EPI_ISL_413875	guangdong	yes	2020-02-10
EPI_ISL_413850	guangdong	yes	2020-02-10
EPI_ISL_413874	guangdong	yes	2020-02-12
EPI_ISL_413866	guangdong	yes	2020-02-05
EPI_ISL_413867	guangdong	no	2020-02-05
EPI_ISL_413873	guangdong	no	2020-02-28
EPI_ISL_413871	guangdong	yes	2020-02-28
EPI_ISL_406533	guangdong	yes	2020-01-22
EPI_ISL_414692	guangdong	yes	2020-02-25
EPI_ISL_414663	guangdong	no	2020-02-25
EPI_ISL_414686	guangdong	yes	2020-02-27
EPI_ISL_414687	guangdong	yes	2020-02-25
EPI_ISL_414688	guangdong	yes	2020-02-25
EPI_ISL_414689	guangdong	no	2020-02-25
EPI_ISL_414690	guangdong	yes	2020-02-25
EPI_ISL_414691	guangdong	no	2020-02-25
EPI_ISL_406030	guangdong	yes	2020-01-10
EPI_ISL_405839	guangdong	yes	2020-01-11
EPI_ISL_406593	guangdong	yes	2020-01-13
EPI_ISL_406594	guangdong	yes	2020-01-16
EPI_ISL_406595	guangdong	yes	2020-01-16
EPI_ISL_415582	hongkong	yes	2020-03-04
EPI_ISL_416314	hongkong	yes	2020-02-07
EPI_ISL_416315	hongkong	yes	2020-02-19
EPI_ISL_417179	hongkong	yes	2020-01-30
EPI_ISL_417180	hongkong	yes	2020-02-03
EPI_ISL_417181	hongkong	yes	2020-02-05
EPI_ISL_417176	hongkong	no	2020-01-21
EPI_ISL_417182	hongkong	yes	2020-02-05
EPI_ISL_417185	hongkong	yes	2020-02-09
EPI_ISL_417187	hongkong	yes	2020-02-08
EPI_ISL_417188	hongkong	yes	2020-02-08
EPI_ISL_417193	hongkong	yes	2020-02-09
EPI_ISL_417197	hongkong	yes	2020-02-09
EPI_ISL_417199	hongkong	yes	2020-02-09
EPI_ISL_417178	hongkong	yes	2020-01-25
EPI_ISL_412029	hongkong	yes	2020-01-30
EPI_ISL_412030	hongkong	yes	2020-02-01
EPI_ISL_412028	hongkong	no	2020-01-22
EPI_ISL_417064	hongkong	yes	2020-01-21
EPI_ISL_414527	hongkong	yes	2020-02-09
EPI_ISL_414528	hongkong	yes	2020-02-10
EPI_ISL_414569	hongkong	yes	2020-02-12
EPI_ISL_414571	hongkong	yes	2020-02-22
EPI_ISL_414519	hongkong	yes	2020-02-24
EPI_ISL_414517	hongkong	yes	2020-02-25
EPI_ISL_407893	hubei	yes	2020-01-24
EPI_ISL_407894	hubei	yes	2020-01-28
EPI_ISL_406844	hubei	yes	2020-01-25
EPI_ISL_407976	hubei	yes	2020-02-03
EPI_ISL_411902	hubei	yes	2020-01-27
EPI_ISL_413014	hubei	yes	2020-01-25
EPI_ISL_413015	hubei	yes	2020-01-23
EPI_ISL_411957	hubei	yes	2020-01-08
EPI_ISL_406716	hubei	yes	2020-01-02
EPI_ISL_406717	hubei	yes	2020-01-02
EPI_ISL_407071	hubei	yes	2020-01-29
EPI_ISL_407073	hubei	yes	2020-01-29
EPI_ISL_412116	hubei	yes	2020-02-09
EPI_ISL_407079	hubei	yes	2020-01-29
EPI_ISL_408430	hubei	yes	2020-01-29
EPI_ISL_406970	hubei	yes	2020-01-20
EPI_ISL_407313	hubei	yes	2020-01-19
EPI_ISL_410546	hubei	yes	2020-01-29
EPI_ISL_410545	hubei	yes	2020-01-29
EPI_ISL_412459	hubei	yes	2020-01-08
EPI_ISL_410301	hubei	yes	2020-01-13
EPI_ISL_403962	hubei	yes	2020-01-08
EPI_ISL_403963	hubei	yes	2020-01-13
EPI_ISL_406973	hubei	yes	2020-01-23
EPI_ISL_410535	hubei	yes	2020-02-03
EPI_ISL_411929	hubei	yes	2020-01-XX
EPI_ISL_408489	hubei	yes	2020-01-31
EPI_ISL_410218	hubei	yes	2020-02-05
EPI_ISL_412983	hubei	yes	2020-02-08
EPI_ISL_406223	hubei	yes	2020-01-22
EPI_ISL_406034	hubei	yes	2020-01-23
EPI_ISL_406036	hubei	yes	2020-01-22
EPI_ISL_408010	hubei	yes	2020-01-29
EPI_ISL_410044	hubei	yes	2020-01-27
EPI_ISL_411954	hubei	yes	2020-02-06
EPI_ISL_404253	hubei	yes	2020-01-21
EPI_ISL_410045	hubei	yes	2020-01-28
EPI_ISL_409067	hubei	yes	2020-01-29
EPI_ISL_411956	hubei	yes	2020-02-11
EPI_ISL_404895	hubei	yes	2020-01-19
EPI_ISL_408670	hubei	yes	2020-01-31
EPI_ISL_402125	hubei	yes	2019-12-26
EPI_ISL_402132	hubei	yes	2019-12-30
EPI_ISL_412898	hubei	yes	2019-12-30
EPI_ISL_412978	hubei	yes	2020-01-17
EPI_ISL_412899	hubei	yes	2019-12-30
EPI_ISL_412979	hubei	yes	2020-01-18
EPI_ISL_412900	hubei	no	2019-12-30
EPI_ISL_412980	hubei	yes	2020-01-18
EPI_ISL_412981	hubei	yes	2020-01-18
EPI_ISL_412982	hubei	yes	2020-02-07
EPI_ISL_402123	hubei	yes	2019-12-24
EPI_ISL_403931	hubei	yes	2019-12-30
EPI_ISL_403930	hubei	yes	2019-12-30
EPI_ISL_403929	hubei	yes	2019-12-30
EPI_ISL_403928	hubei	yes	2020-01-01
EPI_ISL_402119	hubei	yes	2019-12-30
EPI_ISL_402120	hubei	yes	2020-01-01
EPI_ISL_402121	hubei	yes	2019-12-30
EPI_ISL_406798	hubei	yes	2019-12-26
EPI_ISL_406800	hubei	yes	2020-01-01
EPI_ISL_406801	hubei	yes	2020-01-05
EPI_ISL_408978	hubei	yes	2020-02-07
EPI_ISL_402127	hubei	yes	2019-12-30
EPI_ISL_402124	hubei	yes	2019-12-30
EPI_ISL_402128	hubei	yes	2019-12-30
EPI_ISL_402129	hubei	yes	2019-12-30
EPI_ISL_402130	hubei	yes	2019-12-30
EPI_ISL_417536	iceland	yes	2020-03-16
EPI_ISL_417537	iceland	yes	2020-03-16
